Sanskrit Line,English,Kannada
"अस्यामेव भाषायां चत्वारो वेदाः, षडङ्गानि, अष्टादशपुराणानि, उपपुराणानि, बहूनि काव्यानि च विराजन्ते ।","It is in this language that the four Veda-s, the six Vedāṅga-s, the eighteen Purāṇa-s, Upa-purāṇa-s, and numerous poetic works are found.","ನಾಲ್ಕು ವೇದಗಳು, ಆರು ವೇದಾಂಗಗಳು, ಹದಿನೆಂಟು ಪುರಾಣಗಳು, ಉಪಪುರಾಣಗಳು, ಮತ್ತು ಅನೇಕ ಕಾವ್ಯಕೃತಿಗಳು ಈ ಭಾಷೆಯಲ್ಲೇ ರಾರಾಜಿಸುತ್ತಿವೆ."
नानाविधानि ज्योतिश्शास्त्रगणितशास्त्रादीनि भाषायामस्यामेव निबद्धानि वर्तन्ते ।,Various śāstra-s (sciences) such as astronomy and mathematics have also been composed in this very language.,"ಜ್ಯೋತಿಷ್ಯ ಶಾಸ್ತ್ರ, ಗಣಿತ ಶಾಸ್ತ್ರ ಮೊದಲಾದ ನಾನಾ ವಿಧದ ಶಾಸ್ತ್ರಗಳು, ಈ ಭಾಷೆಯಲ್ಲಿಯೇ ರಚಿಸಲ್ಪಟ್ಟಿವೆ."
"किं बहुना ? आयुर्वेदः, गान्धर्ववेदादयः सर्वे ग्रन्थाः तत्तज्ज्ञानविज्ञाननिधानभूताः एतस्यामेव भाषायाम् उपलभ्यन्ते ।","What more is there to say? Works on Āyurveda (Medicine), Gāndharvaveda (music and arts), and others—being treasures of diverse knowledge and sciences, are available in this language.","ಹೆಚ್ಚೇನು ಹೇಳಲಿದೆ? ಆಯುರ್ವೇದ, ಗಾಂಧರ್ವವೇದ ಮೊದಲಾಗಿ ಆಯಾ ಜ್ಞಾನ ವಿಜ್ಞಾನಗಳ ನಿಧಿಗಳಾದ ಈಲ್ಲ ಗ್ರಂಥಗಳು  ಈ ಭಾಷೆಯಲ್ಲಿಯೇ ದೊರಕುತ್ತವೆ."
सर्वस्यापि भौतिकविज्ञानस्य आध्यात्मिकज्ञानस्य उपलम्भाय च इयमेव भाषा सर्वैः प्राचीनैः समाद्रियत ।,"For the attainment of both material and spiritual knowledge, this language was highly regarded by the ancients.",ಎಲ್ಲ ಭೌತಿಕ ಮತ್ತು ಆಧ್ಯಾತ್ಮಿಕ ಜ್ಞಾನಗಳನ್ನು ಪಡೆಯಲು ಈ ಭಾಷೆಯೇ ಎಲ್ಲ ಪ್ರಾಚೀನರಿಂದ ಆದರಿಸಲ್ಪಟ್ಟಿತು.
सर्वेष्वपि पाश्चात्त्यदेशविश्वविद्यालयेषु संस्कृतस्य स्थानं वर्तत एव ।,"In universities across all Western countries, Saṃskṛta holds its place.",ಪಾಶ್ಚಾತ್ಯ ದೇಶಗಳ ಎಲ್ಲಾ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳಲ್ಲಿಯೂ ಸಂಸ್ಕೃತ ತನ್ನ ಸ್ಥಾನವನ್ನು ಹೊಂದಿದೆ.
आधुनिकविज्ञानविषया अपि बहवः प्राचीनसंस्कृतग्रन्थैः सूचिता एवेति प्राच्यविज्ञानकुशलानाम् अभिप्रायः ।,"Many modern scientific concepts have also been mentioned in ancient Saṃskṛta texts, according to oriental scholars.",ಅಧುನಿಕ ವಿಜ್ಞಾನದ ಅನೇಕ ವಿಷಯಗಳು ಪ್ರಾಚೀನ ಸಂಸ್ಕೃತ ಗ್ರಂಥಗಳಿಂದ ಸೂಚಿಸಲ್ಪಟ್ಟಿವೆ ಎಂದು ಪ್ರಾಚ್ಯವಿಜ್ಞಾನಿಗಳು ಹೇಳುತ್ತಾರೆ.
न केवलं भारते देशे सर्वेषु राष्ट्रेषु अपितु उपखण्डेष्वपि सर्वेषु पाश्चात्त्यदेशेषु विज्ञानिभिः समाद्रियते इयं सुरसरस्वती ।,"Not only in all states of India but also in the subcontinents and all the Western countries, this divine language (Saṃskṛta) is revered by scholars.","ಭಾರತದ ಎಲ್ಲಾ ರಾಜ್ಯಗಳಲ್ಲಿ ಮಾತ್ರವಲ್ಲ, ಉಪಖಂಡಗಳಲ್ಲಿ, ಮತ್ತು ಎಲ್ಲ ಪಾಶ್ಚಾತ್ಯ ದೇಶಗಳಲ್ಲಿಯೂ ಈ ದೇವಭಾಷೆ ಆದರಿಸಲ್ಪಟ್ಟಿದೆ."
अत एव अत्रान्तरे विश्वसंस्कृतसम्मेलनमिति नाम्ना यत्र क्वापि प्रपञ्चे एकस्मिन् देशे प्रतिवर्षं सम्मिलन्ति संस्कृतविद्वांसः तत्तदुपखण्डवासिनः सुप्रसिद्धाः ।,"That is why, these days, every year, in some part of the world, famous Saṃskṛta scholars of that region or subcontinent gather at the World Sanskrit Conference.","ಆದ್ದರಿಂದಲೇ, ಈ ದಿನಗಳಲ್ಲಿ ಪ್ರತಿವರ್ಷ, ಪ್ರಪಂಚದ ಯಾವುದಾದರೂ ಒಂದು ದೇಶದಲ್ಲಿ 'ವಿಶ್ವ ಸಂಸ್ಕೃತ ಸಮ್ಮೇಳನ' ಎಂಬ ಹೆಸರಿನಲ್ಲಿ ಆಯಾ ಪ್ರದೇಶದ ನಿವಾಸಿಗಳಾದ ಪ್ರಸಿದ್ಧ ಸಂಸ್ಕೃತ ತಜ್ಞರು ಸೇರುತ್ತಾರೆ."
सर्ववसुधासम्बन्धितया अस्या भाषायाः ‘वसुधैव कुटुम्बकम्' इत्युदारचरितमपि अनयैव भाषया समासादयितुं शक्यते इति सर्वैः प्राच्यपाश्चात्त्यविद्वद्भिः समुद्घुष्यते ।,"Because this language is connected to the whole world, the broad-minded philosophy of 'Vasudhaiva Kutumbakam' (the world is one family) can be realized only through this language, as declared by both Eastern and Western scholars.","ಇಡೀ ಭೂಮಿಯೊಂದಿಗೆ ಸಂಬಂಧ ಹೊಂದಿರುವುದರಿಂದ,  'ವಸುಧೈವ ಕುಟುಂಬಕಮ್' ಎಂಬ ಉದಾರವಾದ ತತ್ತ್ವವೂ ಈ ಭಾಷೆಯಿಂದ ಮಾತ್ರ ಸಾಧಿಸಸಲು ಸಾಧ್ಯ ಎಂದು ಪೂರ್ವ ಮತ್ತು ಪಾಶ್ಚಾತ್ಯ ಪಂಡಿತರು ಘೋಷಿಸುತ್ತಾರೆ."
सर्वप्रपञ्चप्रजासमुदायस्य च एककुटुम्बकत्वव्यवहारः सर्वप्रपञ्चजनसम्बन्धिन्या एकयैव भाषया भवितुमर्हति नान्यथा ।,"The unity of all the people of the world as one family can only be achieved through a single language that connects everyone globally, and not otherwise.","ಪ್ರಪಂಚದ ಸಮಗ್ರ ಜನಸಮುದಾಯವು ಒಂದು ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ್ದು ಎಂಬ ವ್ಯವಹಾರ, ಎಲ್ಲ ಜನರಿಗೆ ಸಂಬಂಧಿಸಿದ ಒಂದು ಭಾಷೆಯಿಂದ ಮಾತ್ರ ಸಾಧ್ಯ,  ಅನ್ಯಥಾ ಸಾಧ್ಯವಿಲ್ಲ."
‘उदारचरितानां तु वसुधैव कुटुम्बकम्' इति सूक्तिः अनया संस्कृतभाषया केवलं समर्थयितुं शक्यते ।,"The saying ‘For the noble, the world is one family’ can only be upheld by this Saṃskṛta language.",ಉದಾರ ಮನಸ್ಸಿನವರಿಗೆ ಜಗತ್ತೇ  ಕುಟುಂಬ'  ಎಂಬ ಮಾತನ್ನು ಈ ಸಂಸ್ಕೃತ ಭಾಷೆಯಿಂದ ಮಾತ್ರ ಸಮರ್ಥಿಸಲು ಸಾಧ್ಯ.
सर्वासामपि पाश्चात्त्यभाषाणां संस्कृतभाषया सम्बन्धः दृढतरः वर्तत एवेति सर्वैः पाश्चात्त्यविद्वद्भिः भाषाशास्त्रद्वारा निरूपितमेव ।,It has been established by Western scholars through linguistics that all Western languages have a strong relationship with Saṃskṛta.,ಎಲ್ಲಾ ಪಾಶ್ಚಾತ್ಯ ಭಾಷೆಗಳಿಗೂ ಸಂಸ್ಕೃತದೊಡನೆ ದೃಢವಾದ ಸಂಬಂಧವು ಇದೆ ಎಂದು ಪಾಶ್ಚಾತ್ಯ ಪಂಡಿತರು ಭಾಷಾಶಾಸ್ತ್ರದಿಂದ ನಿರೂಪಿಸಿದ್ದಾರೆ.
एवं खण्डखण्डान्तरेषु बहुभिः पण्डितैः अद्याप्यधीयमाना विमृश्यमाना च भाषा संस्कृतमेकमेवेति अस्याः भाषायाः सर्वासु भाषासु विशिष्टं स्थानं वर्तत इत्यत्र नास्ति विशयः लेशतोऽपि ।,"Thus, this language holds a special place among languages, as the only one being studied and analyzed by many scholars in various parts of the world even today—there is indeed not even a trace of doubt regarding this.",ಜಗತ್ತಿನ ವಿವಿಧ ಭಾಗಗಳಲ್ಲಿ ಅನೇಕ ಪಂಡಿತರಿಂದ ಇಂದಿಗೂ ಓದಲ್ಪಡುತ್ತಿರುವ ಮತ್ತು ಪರಿಶೀಲಿಸಲ್ಪಡುತ್ತಿರುವ ಏಕಮಾತ್ರ ಭಾಷೆ ಸಂಸ್ಕೃತ ಎಂದು ಎಲ್ಲ ಭಾಷೆಗಳ ನಡುವಿನಲ್ಲಿ ಈ ಭಾಷೆಯು ವಿಶಿಷ್ಟವಾದ ಸ್ಥಾನವನ್ನು ಹೊಂದಿರುವುದರಲ್ಲಿ ಸ್ವಲ್ಪವೂ ಸಂದೇಹವಿಲ್ಲ.
