Word,Explanation
"षडङ्गानि,","<b style=""color:purple;"">षडङ्गानि</b> = Six limbs (neut.). <br> षट् + अङ्गानि (जश्त्वसन्धिः) । <br> अकारान्तः, नपुंसकलिङ्गः षडङ्ग-शब्दः, प्रथमाविभक्तिः बहुवचनम् । <br> षट् अङ्गानि (कर्मधारयः) । <br> शिक्षाः, व्याकरणम्, छन्दः, निरुक्तम्, ज्यौतिषम्, कल्पः – These are the six aṅga-s of the Veda-s. <br>"
निबद्धानि,"<b style=""color:purple;"">निबद्धानि</b> = Composed (neut. plural). <br> अकारान्तः, नपुंसकलिङ्गः निबद्ध-शब्दः, प्रथमाविभक्तिः बहुवचनम् । <br> नि-उपसर्गः + बन्ध्-धातुः + क्त-प्रत्ययः (कृदन्तः) । <br>"
किं,"<b style=""color:purple;"">किं बहुना</b> = What more to say. <br> It is a stylistic expression used to emphasize that the point of discussion is well-established and does not need more description. <br>"
बहुना,"<b style=""color:purple;"">किं बहुना</b> = What more to say. <br> It is a stylistic expression used to emphasize that the point of discussion is well-established and does not need more description. <br>"
भौतिकविज्ञानस्य,"<b style=""color:purple;"">भौतिकविज्ञानस्य</b> = Of material science. <br> अकारान्तः, नपुंसकलिङ्गः भौतिकविज्ञान-शब्दः, षष्ठीविभक्तिः एकवचनम् । <br> भूतानां विकारः = भौतिकम् । तद्धितान्तः । Refers to the entire material universe made up of pañca bhūta-s. <br> भौतिकं विज्ञानम् = भौतिकविज्ञानम् (कर्मधारयः) । Any knowledge pertaining to the material universe. <br>"
आध्यात्मिकज्ञानस्य,"<b style=""color:purple;"">आध्यात्मिकज्ञानस्य</b> = Of spiritual knowledge. <br> अकारान्तः, नपुंसकलिङ्गः आध्यात्मिकज्ञान-शब्दः, षष्ठीविभक्तिः एकवचनम् । <br> आत्मनि इति = अध्यात्मम् अव्ययीभावसमासः । That which is within (the inner self). <br> अध्यात्मम् भवम् = आध्यात्मिकम् । तद्धितान्तः । Related to the inner self = spiritual. <br> आध्यात्मिकं ज्ञानम् = आध्यात्मिकज्ञानम् (कर्मधारयः) । <br>"
उपलम्भाय,"<b style=""color:purple;"">उपलम्भाय</b> = For attainment (dative case). <br> अकारान्तः, पुंलिङ्गः उपलम्भ-शब्दः, चतुर्थीविभक्तिः एकवचनम् । <br>"
समाद्रियत,"<b style=""color:purple;"">समाद्रियत</b> = Was respected (past passive verb, singular). <br> सम् + आ-उपसर्गौ + दृ-धातुः, कर्मणि लङ्-लकारः, प्रथमपुरुषः एकवचनम् । <br>"
पाश्चात्त्यदेशविश्वविद्यालयेषु,"<b style=""color:purple;"">पाश्चात्त्यदेशविश्वविद्यालयेषु</b> = In the universities of Western countries. <br> अकारान्तः, पुंलिङ्गः पाश्चात्त्यदेशविश्वविद्यालय-शब्दः, सप्तमीविभक्तिः बहुवचनम् । <br> पश्चात् भवः = पाश्चात्त्यः । तद्धितान्तः । Western. <br> पाश्चात्त्याः देशाः = पाश्चात्त्यदेशाः (कर्मधारयः) । Western countries. <br> पाश्चात्त्यदेशानां विश्वविद्यालयाः (षष्ठीतत्पुरुषः), तेषु । Universities of western countries. <br>"
वर्तत,"<b style=""color:purple;"">वर्तत एव</b> = Exists indeed. <br> वर्तते + एव (अयादिसन्धिः & यकारलोपः) । <br> वर्तते – वृत्-धातुः, लट्-लकारः, प्रथमपुरुषः एकवचनम् । <br> एव – अव्ययम् । <br>"
प्राच्यविज्ञानकुशलानाम्,"<b style=""color:purple;"">प्राच्यविज्ञानकुशलानाम्</b> = Of the scholars of Oriental knowledge. <br> अकारान्तः, पुंलिङ्गः प्राच्यविद्याकुशल-शब्दः, षष्ठीविभक्तिः बहुवचनम् । <br> प्राचि भवम् = प्राच्यम् । तद्धितान्तः । Eastern, Oriental. <br> प्राच्यं विज्ञानम् = प्राच्यविज्ञानम् (कर्मधारयः) । Oriental Studies. <br> प्राच्यविज्ञाने कुशलाः = प्राच्यविज्ञानकुशलाः (सप्तमीतत्पुरुषः) । Experts in Oriental studies. <br>"
राष्ट्रेषु,"<b style=""color:purple;"">राष्ट्रेषु</b> = In the states (in this context only). <br> अकारान्तः, नपुंसकलिङ्गः राष्ट्र-शब्दः, सप्तमीविभक्तिः बहुवचनम् । <br> In this lesson, the word राष्ट्र has been used to indicate the states within the country. However, राष्ट्र is usually used synonymously with देश to indicate Country / Nation. <br>"
उपखण्डेष्वपि,"<b style=""color:purple;"">उपखण्डेष्वपि</b> = Even in the subcontinents. <br> उपखण्डेषु + अपि (यण्सन्धिः) । <br> उपखण्डेषु – अकारान्तः, नपुंसकलिङ्गः उपखण्ड-शब्दः, सप्तमीविभक्तिः बहुवचनम् । <br> खण्डः = Continent. उपखण्डः = Subcontinent. देशः = Country. <br>"
पाश्चात्त्यदेशेषु,"<b style=""color:purple;"">पाश्चात्त्यदेशेषु</b> = In Western countries. <br> अकारान्तः, पुंलिङ्गः पाश्चात्त्यदेश-शब्दः, सप्तमीविभक्तिः बहुवचनम् । <br> पश्चात् भवः = पाश्चात्त्यः । तद्धितान्तः । Western. <br> पाश्चात्त्याः देशाः = पाश्चात्त्यदेशाः (कर्मधारयः), तेषु । In Western countries. <br>"
विज्ञानिभिः,"<b style=""color:purple;"">विज्ञानिभिः</b> = By scholars (instrumental plural). <br> नकारान्तः, पुंलिङ्गः विज्ञानिन्-शब्दः, तृतीयाविभक्तिः बहुवचनम् । <br> विज्ञानम् अस्य अस्ति = विज्ञानी । तद्धितान्तः । <br>"
अत्रान्तरे,"<b style=""color:purple;"">अत्रान्तरे</b> = In the meantime. <br> अव्ययम् । <br>"
क्वापि,"<b style=""color:purple;"">क्वापि</b> = Somewhere. <br> अव्ययम् । This is a combination of two avyaya-s, क्व (synonymous with कुत्र, meaning where), and अपि (indicating uncertainty). क्व + अपि = क्वापि = कुत्रापि = Somewhere. <br>"
समासादयितुं,"<b style=""color:purple;"">समासादयितुं</b> = To attain. <br> सम्+आ-उपसर्गौ + सद्-धातुः + णिच् + तुमुन् । अव्ययम् । <br>"
समुद्घुष्यते,"<b style=""color:purple;"">समुद्घुष्यते</b> = Is proclaimed loudly (singular, passive). <br> सम्+उद्-उपसर्गौ + घुष्-धातुः, कर्मणि लट्-लकारः, प्रथमपुरुषः एकवचनम् । <br>"
एकयैव,"<b style=""color:purple;"">एकयैव</b> = By only one (fem., instrumental singular). <br> एकया + एव (वृद्धिसन्धिः) । <br> आकारान्तः स्त्रीलिङ्गः, एक-शब्दः, तृतीयाविभक्तिः एकवचनम् । <br>"
नान्यथा,"<b style=""color:purple;"">नान्यथा</b> = Not otherwise. <br> न + अन्यथा (सवर्णदीर्घः) । <br> अव्ययसमुद"
पाश्चात्त्यभाषाणां,"<b style=""color:purple;"">पाश्चात्त्यभाषाणां</b> = Of Western languages. <br> आकारान्तः, स्त्रीलिङ्गः पाश्चात्त्यभाषा-शब्दः, षष्ठीविभक्तिः बहुवचनम् । <br> पश्चात् भवा = पाश्चात्त्या । तद्धितान्तः । Western. <br> पाश्चात्त्याः भाषाः = पाश्चात्त्यभाषाः (कर्मधारयः), तासाम् । Of Western languages. <br>"
दृढतरः,"<b style=""color:purple;"">दृढतरः</b> = Stronger (comparative degree). <br> अकारान्तः पुंलिङ्गः दृढ-शब्दः, प्रथमा विभक्तिः एकवचनम् । <br> अतिशयेन दृढः = दृढतरः । तद्धितान्तः । <br>"
पाश्चात्त्यविद्वद्भिः,"<b style=""color:purple;"">पाश्चात्त्यविद्वद्भिः</b> = By Western scholars. <br> सकारान्तः पुंलिङ्गः, पाश्चात्त्यविद्वस्-शब्दः, तृतीयाविभक्तिः बहुवचनम् । <br> पश्चात् भवः = पाश्चात्त्यः । तद्धितान्तः । Western. <br> पाश्चात्त्याः विद्वांसः = पाश्चात्त्यविद्वांसः (कर्मधारयः), तैः । By Western scholars. <br>"
अद्याप्यधीयमाना,"<b style=""color:purple;"">अद्याप्यधीयमाना</b> = Still being studied (feminine, plural). <br> अद्य + अपि + अधीयमाना (सवर्णदीर्घः, यण् सन्धिः) । <br> अद्य, अपि = अव्ययम् । <br> अधीयमाना – आकारन्तः, स्त्रीलिङ्गः, अधीयमाना-शब्दः, प्रथमाविभक्तिः, बहुवचनम् । <br> अधि-उपसर्गः + इङ्-धातुः + कर्मणि शानच् प्रत्ययः । कृदन्तः । <br>"
विमृश्यमाना,"<b style=""color:purple;"">विमृश्यमाना</b> = Being analyzed (feminine, plural). <br> आकारन्तः, स्त्रीलिङ्गः, विमृश्यमाना-शब्दः, प्रथमाविभक्तिः, बहुवचनम् । <br> वि-उपसर्गः + मृश्-धातुः + कर्मणि शानच् प्रत्ययः । कृदन्तः । <br>"
वर्तत इत्यत्र,"<b style=""color:purple;"">वर्तत इत्यत्र</b> = Exists. <br> वर्तते + इति + अत्र (अयादिसन्धिः & यकारलोपः, यण्सन्धिः) । <br> वर्तते – वृत्-धातुः, लट्-लकारः, प्रथमपुरुषः एकवचनम् । <br> इति, अत्र – अव्ययम् । <br>"
विशयः,"<b style=""color:purple;"">विशयः</b> = Doubt. <br> अकारान्तः, पुंलिङ्गः विशय-शब्दः, प्रथमा विभक्तिः एकवचनम् । <br> Note the difference in spelling between विषयः (=Subject) and विशयः (=Doubt). <br>"
लेशतोऽपि,"<b style=""color:purple;"">लेशतोऽपि</b> = Even to the slightest extent. <br> लेशतः + अपि (विसर्गस्य उकारादेशः & गुणः & पूर्वरूपम्) । <br> लेशतः, अपि = अव्ययम् । <br>"
